Student Name,Entity,% Enr,Student Type,Race,Days Absent,Days Present,Days Possible,Percent Atnd,Ave Dly Attend,Days Excused,Days Unexc,Ave Dly Mbr,Calendar,Hisp/Lat,Current Date,Student Number,Current Grade,Guardian Name,Guardian Phone,Counselor,Counselor Email,Dean Name,Dean Email
Aiden Brown,Penn High School,Full Time,High School,White,6,157,180,92%,86%,9,3,10,Gold/Black,Yes,09/25/2025,172644,Junior,Ben Brown,219-555-7258,Mr. Smith,johson@example.com,Ms. Red,white@example.com
Keaton Davis,Penn High School,Full Time,High School,Other,16,165,180,85%,92%,0,5,10,Gold/Black,No,09/25/2025,212385,Junior,Emmy Fogarty,219-555-4524,Ms. Jones,jones@example.com,Mr. Blue,green@example.com
Jane DeFreitas,Penn High School,Full Time,High School,Asian,12,172,180,95%,87%,3,1,10,Gold/Black,No,09/25/2025,674432,Junior,Elijah Willaims,219-555-3434,Ms. Johnson,williams@example.com,Mrs. Black,red@example.com
Benedict Wilson,Penn High School,Full Time,High School,Asian,4,158,180,89%,89%,8,0,10,Gold/Black,Yes,09/25/2025,523124,Junior,Lisa Wilson,219-555-5657,Mrs. Williams,jones@example.com,Mr. Blue,white@example.com
Mac Miller,Penn High School,Full Time,High School,Asian,6,163,180,94%,90%,5,1,10,Gold/Black,No,09/25/2025,990016,Senior,Emma Johnson,219-555-9870,Mr. Smith,johson@example.com,Mr. White,black@example.com
Andrew Davis,Penn High School,Full Time,High School,Black,5,173,180,98%,96%,0,0,10,Gold/Black,Yes,09/25/2025,384570,Sophomore,Jill Miller,219-555-2528,Mrs. Williams,johson@example.com,Mr. White,green@example.com
Marge Anderson,Penn High School,Full Time,High School,White,7,166,180,81%,92%,9,5,10,Gold/Black,Yes,09/25/2025,753382,Junior,Kyan Garcia,219-555-4084,Mr. Smith,johson@example.com,Mr. White,blue@example.com
Ben Moore,Penn High School,Full Time,High School,Asian,17,170,180,86%,88%,6,0,10,Gold/Black,Yes,09/25/2025,950074,Freshman,Roman Jones,219-555-7814,Mr. Smith,jones@example.com,Ms. Green,red@example.com
Benedict Fogarty,Penn High School,Full Time,High School,Black,1,169,180,93%,85%,9,9,10,Gold/Black,No,09/25/2025,519763,Sophomore,Andrew Garcia,219-555-4201,Mrs. Williams,brown@example.com,Mr. White,red@example.com
Lucian Jones,Penn High School,Full Time,High School,Other,2,159,180,80%,94%,8,9,10,Gold/Black,Yes,09/25/2025,391137,Senior,Katerina Fogarty,219-555-7975,Ms. Jones,brown@example.com,Ms. Red,white@example.com
Aiden DeFreitas,Penn High School,Full Time,High School,White,12,160,180,85%,92%,5,6,10,Gold/Black,Yes,09/25/2025,959618,Freshman,Lisa Brown,219-555-2091,Mrs. Williams,jones@example.com,Mr. Blue,red@example.com
Jill Anderson,Penn High School,Full Time,High School,Hispanic,15,157,180,87%,89%,1,4,10,Gold/Black,No,09/25/2025,738131,Junior,Van Wilson,219-555-5726,Mrs. Williams,johson@example.com,Mrs. Black,red@example.com
Ben Garcia,Penn High School,Full Time,High School,Asian,3,154,180,97%,93%,6,7,10,Gold/Black,No,09/25/2025,929780,Junior,Jane Johnson,219-555-6751,Ms. Jones,brown@example.com,Mr. White,white@example.com
Jill Anderson,Penn High School,Full Time,High School,Hispanic,18,161,180,99%,90%,1,9,10,Gold/Black,Yes,09/25/2025,862248,Senior,Eliana Moore,219-555-9578,Mrs. Williams,jones@example.com,Mr. White,black@example.com
Van DeFreitas,Penn High School,Full Time,High School,White,11,170,180,89%,90%,0,3,10,Gold/Black,No,09/25/2025,304524,Junior,Roman DeFreitas,219-555-5081,Ms. Johnson,brown@example.com,Mr. Blue,red@example.com
Keaton Willaims,Penn High School,Full Time,High School,Black,0,152,180,86%,80%,2,4,10,Gold/Black,Yes,09/25/2025,576525,Sophomore,Elijah Wilson,219-555-3462,Mr. Smith,johson@example.com,Mrs. Black,red@example.com
Eliana Wilson,Penn High School,Full Time,High School,White,6,159,180,88%,90%,7,3,10,Gold/Black,Yes,09/25/2025,893409,Junior,Keaton Manukyan,219-555-2996,Ms. Jones,brown@example.com,Ms. Red,red@example.com
Jill Jones,Penn High School,Full Time,High School,White,13,165,180,83%,92%,2,8,10,Gold/Black,No,09/25/2025,158646,Freshman,Ben Fogarty,219-555-1285,Ms. Johnson,smith@example.com,Mr. White,green@example.com
Elijah Anderson,Penn High School,Full Time,High School,Hispanic,17,169,180,97%,98%,7,5,10,Gold/Black,Yes,09/25/2025,537297,Victory Lap,Kaden Fogarty,219-555-8303,Ms. Johnson,smith@example.com,Mr. White,black@example.com
Ben Miller,Penn High School,Full Time,High School,Hispanic,12,155,180,99%,98%,9,5,10,Gold/Black,Yes,09/25/2025,782539,Senior,Keaton Davis,219-555-1552,Mr. Smith,brown@example.com,Mr. Blue,red@example.com
Emmy Jones,Penn High School,Full Time,High School,White,6,162,180,95%,97%,0,1,10,Gold/Black,Yes,09/25/2025,609428,Victory Lap,Elijah Brown,219-555-3028,Mr. Smith,brown@example.com,Ms. Red,green@example.com
Eliana Johnson,Penn High School,Full Time,High School,Black,6,172,180,97%,80%,3,5,10,Gold/Black,Yes,09/25/2025,809637,Victory Lap,Ben Brown,219-555-4549,Mr. Smith,johson@example.com,Mrs. Black,black@example.com
Aiden Anderson,Penn High School,Full Time,High School,Other,11,170,180,90%,92%,5,0,10,Gold/Black,Yes,09/25/2025,463324,Junior,Andrew Manukyan,219-555-8510,Mr. Brown,johson@example.com,Mr. Blue,black@example.com
Aiden Wilson,Penn High School,Full Time,High School,Asian,12,161,180,92%,93%,6,0,10,Gold/Black,Yes,09/25/2025,246348,Senior,Jill Brown,219-555-4023,Mr. Smith,smith@example.com,Mr. Blue,red@example.com
Andrew Miller,Penn High School,Full Time,High School,Asian,11,162,180,86%,80%,4,9,10,Gold/Black,No,09/25/2025,640359,Senior,Danielle Johnson,219-555-3487,Ms. Jones,smith@example.com,Mr. White,black@example.com
Keaton Garcia,Penn High School,Full Time,High School,Asian,14,156,180,95%,95%,1,4,10,Gold/Black,No,09/25/2025,859251,Junior,Alexis Johnson,219-555-3956,Mr. Smith,jones@example.com,Mr. Blue,red@example.com
Van Manukyan,Penn High School,Full Time,High School,Other,12,161,180,87%,89%,2,4,10,Gold/Black,No,09/25/2025,491273,Victory Lap,Noah Garcia,219-555-4418,Mrs. Williams,jones@example.com,Mr. White,white@example.com
Jill Smith,Penn High School,Full Time,High School,White,9,166,180,80%,91%,0,5,10,Gold/Black,No,09/25/2025,610841,Senior,Eliana Wilson,219-555-8632,Mrs. Williams,jones@example.com,Mr. Blue,blue@example.com
Kyan Fogarty,Penn High School,Full Time,High School,Black,6,154,180,97%,88%,1,4,10,Gold/Black,Yes,09/25/2025,698158,Freshman,Aiden Jones,219-555-9142,Mr. Smith,johson@example.com,Ms. Green,red@example.com
Emma Brown,Penn High School,Full Time,High School,Asian,10,153,180,94%,92%,4,1,10,Gold/Black,Yes,09/25/2025,775834,Sophomore,Keaton Jones,219-555-4214,Ms. Johnson,johson@example.com,Mr. Blue,black@example.com
Marge Garcia,Penn High School,Full Time,High School,White,12,175,180,84%,96%,0,6,10,Gold/Black,Yes,09/25/2025,131251,Freshman,Marge Foster,219-555-7658,Ms. Jones,jones@example.com,Mrs. Black,blue@example.com
Aiden Brown,Penn High School,Full Time,High School,Asian,1,156,180,94%,92%,8,1,10,Gold/Black,Yes,09/25/2025,240574,Freshman,Roman Miller,219-555-1325,Mrs. Williams,jones@example.com,Mr. Blue,red@example.com
Eliana Manukyan,Penn High School,Full Time,High School,Other,9,158,180,94%,81%,9,3,10,Gold/Black,Yes,09/25/2025,951579,Sophomore,Noah Anderson,219-555-4094,Mr. Brown,williams@example.com,Mr. White,black@example.com
Keaton Anderson,Penn High School,Full Time,High School,Black,10,178,180,98%,80%,2,0,10,Gold/Black,No,09/25/2025,498004,Freshman,Eliana Jones,219-555-2844,Mr. Brown,williams@example.com,Mr. White,green@example.com
Benedict Johnson,Penn High School,Full Time,High School,Hispanic,13,164,180,95%,88%,5,1,10,Gold/Black,No,09/25/2025,555330,Junior,Keaton Miller,219-555-6120,Ms. Jones,jones@example.com,Ms. Red,blue@example.com
Kaden Jones,Penn High School,Full Time,High School,Black,2,174,180,87%,97%,3,5,10,Gold/Black,Yes,09/25/2025,542875,Sophomore,Rachel Foster,219-555-1662,Mr. Brown,brown@example.com,Mr. Blue,white@example.com
Noah Davis,Penn High School,Full Time,High School,Asian,0,169,180,95%,95%,0,9,10,Gold/Black,No,09/25/2025,741664,Victory Lap,Kyan Wilson,219-555-6294,Ms. Jones,jones@example.com,Ms. Green,green@example.com
Benedict Johnson,Penn High School,Full Time,High School,Other,15,161,180,95%,94%,0,7,10,Gold/Black,No,09/25/2025,188186,Victory Lap,Andrew Johnson,219-555-8110,Mr. Smith,smith@example.com,Mrs. Black,black@example.com
Danielle DeFreitas,Penn High School,Full Time,High School,Hispanic,15,170,180,86%,99%,2,9,10,Gold/Black,No,09/25/2025,729165,Victory Lap,Emma Smith,219-555-1925,Ms. Johnson,brown@example.com,Ms. Green,red@example.com
Alexis Johnson,Penn High School,Full Time,High School,Asian,0,173,180,84%,95%,1,4,10,Gold/Black,No,09/25/2025,421926,Senior,Katerina Johnson,219-555-2742,Mr. Brown,smith@example.com,Ms. Red,black@example.com
Mac Manukyan,Penn High School,Full Time,High School,Asian,4,175,180,82%,88%,3,8,10,Gold/Black,Yes,09/25/2025,976392,Sophomore,Joe Davis,219-555-6974,Mrs. Williams,williams@example.com,Ms. Red,black@example.com
Andrew Manukyan,Penn High School,Full Time,High School,White,19,155,180,96%,80%,5,2,10,Gold/Black,No,09/25/2025,170812,Freshman,Marge Anderson,219-555-9783,Mrs. Williams,brown@example.com,Ms. Green,red@example.com
Lucian Willaims,Penn High School,Full Time,High School,White,7,176,180,89%,82%,4,8,10,Gold/Black,No,09/25/2025,693709,Junior,Alexis Fogarty,219-555-1183,Ms. Jones,jones@example.com,Mr. Blue,black@example.com
Keaton Johnson,Penn High School,Full Time,High School,Asian,3,150,180,90%,99%,5,6,10,Gold/Black,Yes,09/25/2025,827851,Victory Lap,Jane Moore,219-555-5119,Mr. Smith,jones@example.com,Ms. Red,black@example.com
Danielle Fogarty,Penn High School,Full Time,High School,Asian,9,179,180,90%,91%,9,2,10,Gold/Black,No,09/25/2025,398568,Junior,Jane Brown,219-555-3626,Mr. Brown,brown@example.com,Mr. White,green@example.com
Kaden Brown,Penn High School,Full Time,High School,Black,3,153,180,87%,95%,1,1,10,Gold/Black,Yes,09/25/2025,229541,Sophomore,Lucian Brown,219-555-6341,Mr. Smith,brown@example.com,Ms. Red,blue@example.com
Ben DeFreitas,Penn High School,Full Time,High School,Other,18,162,180,93%,82%,7,3,10,Gold/Black,No,09/25/2025,920274,Victory Lap,Jane Willaims,219-555-9931,Mrs. Williams,jones@example.com,Ms. Red,white@example.com
Alexis Davis,Penn High School,Full Time,High School,Black,1,164,180,89%,93%,3,3,10,Gold/Black,Yes,09/25/2025,145119,Senior,Kaden DeFreitas,219-555-1659,Ms. Johnson,johson@example.com,Ms. Green,green@example.com
Alexis Fogarty,Penn High School,Full Time,High School,White,11,151,180,99%,91%,6,0,10,Gold/Black,No,09/25/2025,499488,Junior,Kaden Smith,219-555-8116,Ms. Johnson,johson@example.com,Mrs. Black,red@example.com
Jane Garcia,Penn High School,Full Time,High School,Asian,13,170,180,90%,95%,8,5,10,Gold/Black,No,09/25/2025,795564,Sophomore,Aiden Garcia,219-555-3910,Mr. Smith,brown@example.com,Ms. Red,green@example.com
Kaden Wilson,Penn High School,Full Time,High School,Other,0,157,180,91%,80%,0,5,10,Gold/Black,No,09/25/2025,872494,Senior,Lisa DeFreitas,219-555-8502,Mr. Brown,brown@example.com,Ms. Red,red@example.com
Lisa Jones,Penn High School,Full Time,High School,Asian,6,167,180,85%,90%,5,0,10,Gold/Black,No,09/25/2025,445363,Junior,Mac Johnson,219-555-3275,Ms. Johnson,jones@example.com,Ms. Red,black@example.com
Roman Brown,Penn High School,Full Time,High School,Hispanic,6,158,180,88%,82%,8,0,10,Gold/Black,No,09/25/2025,183053,Freshman,Mac Jones,219-555-7609,Ms. Jones,jones@example.com,Ms. Red,green@example.com
Joe Foster,Penn High School,Full Time,High School,Asian,10,166,180,99%,89%,0,5,10,Gold/Black,Yes,09/25/2025,361758,Freshman,Lisa Manukyan,219-555-1671,Ms. Jones,brown@example.com,Ms. Red,white@example.com
Andrew Jones,Penn High School,Full Time,High School,Asian,14,167,180,88%,95%,8,3,10,Gold/Black,Yes,09/25/2025,411452,Sophomore,Van Anderson,219-555-8839,Mr. Brown,smith@example.com,Mr. White,red@example.com
Ben Willaims,Penn High School,Full Time,High School,Asian,7,154,180,89%,85%,1,4,10,Gold/Black,No,09/25/2025,740074,Sophomore,Danielle Foster,219-555-2495,Mrs. Williams,williams@example.com,Ms. Red,black@example.com
Lucian Jones,Penn High School,Full Time,High School,White,11,168,180,88%,88%,0,2,10,Gold/Black,No,09/25/2025,703908,Junior,Kyan Fogarty,219-555-6765,Ms. Johnson,brown@example.com,Mrs. Black,green@example.com
Andrew Brown,Penn High School,Full Time,High School,Hispanic,12,160,180,85%,94%,9,3,10,Gold/Black,Yes,09/25/2025,653563,Victory Lap,Benedict Jones,219-555-4677,Ms. Jones,smith@example.com,Ms. Red,green@example.com
Kaden Wilson,Penn High School,Full Time,High School,Other,4,151,180,87%,84%,3,3,10,Gold/Black,No,09/25/2025,595045,Senior,Andrew Willaims,219-555-1709,Mr. Smith,brown@example.com,Mr. White,blue@example.com
Andrew Moore,Penn High School,Full Time,High School,White,4,172,180,97%,99%,8,5,10,Gold/Black,Yes,09/25/2025,443758,Victory Lap,Danielle Johnson,219-555-8650,Mr. Smith,williams@example.com,Ms. Green,red@example.com
Alexis Fogarty,Penn High School,Full Time,High School,Black,15,165,180,87%,84%,0,9,10,Gold/Black,No,09/25/2025,333855,Sophomore,Jill Jones,219-555-1584,Ms. Johnson,smith@example.com,Mr. White,green@example.com
Ben Garcia,Penn High School,Full Time,High School,Asian,1,157,180,85%,86%,9,6,10,Gold/Black,No,09/25/2025,353622,Victory Lap,Danielle Anderson,219-555-5905,Ms. Johnson,smith@example.com,Ms. Red,blue@example.com
Danielle Fogarty,Penn High School,Full Time,High School,Black,2,160,180,94%,98%,0,0,10,Gold/Black,Yes,09/25/2025,194233,Senior,Aiden Willaims,219-555-7317,Mrs. Williams,brown@example.com,Mrs. Black,red@example.com
Kaden DeFreitas,Penn High School,Full Time,High School,Other,12,168,180,87%,81%,5,2,10,Gold/Black,Yes,09/25/2025,967939,Freshman,Lisa DeFreitas,219-555-1133,Mrs. Williams,williams@example.com,Mr. White,blue@example.com
Andrew Foster,Penn High School,Full Time,High School,White,15,174,180,95%,88%,9,9,10,Gold/Black,No,09/25/2025,313808,Freshman,Emmy Garcia,219-555-3047,Ms. Jones,johson@example.com,Mr. White,green@example.com
Van DeFreitas,Penn High School,Full Time,High School,Hispanic,6,166,180,92%,87%,3,9,10,Gold/Black,Yes,09/25/2025,157297,Sophomore,Van DeFreitas,219-555-8123,Mr. Brown,williams@example.com,Ms. Green,white@example.com
Jill Anderson,Penn High School,Full Time,High School,White,10,159,180,92%,84%,6,4,10,Gold/Black,Yes,09/25/2025,922649,Junior,Lisa Fogarty,219-555-1311,Ms. Jones,jones@example.com,Mr. White,green@example.com
Marge Jones,Penn High School,Full Time,High School,Other,3,153,180,86%,84%,4,9,10,Gold/Black,No,09/25/2025,661593,Sophomore,Lisa Garcia,219-555-3154,Ms. Johnson,smith@example.com,Mr. Blue,green@example.com
Lisa Moore,Penn High School,Full Time,High School,Hispanic,6,155,180,98%,90%,9,4,10,Gold/Black,Yes,09/25/2025,709528,Freshman,Keaton Fogarty,219-555-1738,Ms. Johnson,smith@example.com,Mr. White,green@example.com
Aiden Willaims,Penn High School,Full Time,High School,Hispanic,3,175,180,91%,81%,9,1,10,Gold/Black,No,09/25/2025,863541,Senior,Benedict Foster,219-555-1596,Mr. Brown,smith@example.com,Mrs. Black,white@example.com
Lisa Anderson,Penn High School,Full Time,High School,Hispanic,16,156,180,96%,93%,6,5,10,Gold/Black,Yes,09/25/2025,229824,Junior,Kaden Fogarty,219-555-7692,Ms. Jones,jones@example.com,Mrs. Black,green@example.com
Aiden Moore,Penn High School,Full Time,High School,Asian,12,150,180,98%,85%,3,0,10,Gold/Black,Yes,09/25/2025,806855,Junior,Benedict Smith,219-555-8869,Ms. Johnson,williams@example.com,Ms. Red,green@example.com
Keaton Johnson,Penn High School,Full Time,High School,Other,2,175,180,85%,83%,9,0,10,Gold/Black,No,09/25/2025,186651,Victory Lap,Eliana Moore,219-555-4365,Mr. Brown,jones@example.com,Ms. Red,red@example.com
Benedict Jones,Penn High School,Full Time,High School,Asian,5,150,180,86%,91%,0,1,10,Gold/Black,No,09/25/2025,705715,Senior,Elijah Garcia,219-555-5102,Mrs. Williams,brown@example.com,Mr. Blue,white@example.com
Noah Anderson,Penn High School,Full Time,High School,Other,9,175,180,88%,83%,0,5,10,Gold/Black,No,09/25/2025,910820,Freshman,Lucian Brown,219-555-9908,Ms. Jones,johson@example.com,Mr. Blue,black@example.com
Emmy Davis,Penn High School,Full Time,High School,Asian,8,176,180,86%,94%,8,6,10,Gold/Black,Yes,09/25/2025,478619,Sophomore,Eliana Foster,219-555-7242,Ms. Jones,williams@example.com,Ms. Green,white@example.com
Kaden Smith,Penn High School,Full Time,High School,White,2,176,180,93%,84%,0,1,10,Gold/Black,No,09/25/2025,890539,Freshman,Emmy Jones,219-555-3122,Mr. Brown,brown@example.com,Ms. Green,red@example.com
Kyan Manukyan,Penn High School,Full Time,High School,Black,1,155,180,86%,84%,8,9,10,Gold/Black,Yes,09/25/2025,111140,Freshman,Roman Jones,219-555-3913,Mr. Brown,smith@example.com,Mr. White,black@example.com
Elijah Foster,Penn High School,Full Time,High School,Black,7,156,180,91%,97%,1,4,10,Gold/Black,Yes,09/25/2025,723814,Freshman,Danielle Foster,219-555-2886,Mr. Smith,johson@example.com,Mrs. Black,white@example.com
Mac Johnson,Penn High School,Full Time,High School,Hispanic,5,169,180,86%,88%,0,9,10,Gold/Black,Yes,09/25/2025,997703,Victory Lap,Kaden DeFreitas,219-555-1746,Ms. Jones,jones@example.com,Ms. Green,white@example.com
Lisa Foster,Penn High School,Full Time,High School,White,6,169,180,90%,99%,2,4,10,Gold/Black,Yes,09/25/2025,783374,Junior,Jill Johnson,219-555-3139,Mr. Brown,williams@example.com,Ms. Green,blue@example.com
Eliana Willaims,Penn High School,Full Time,High School,Hispanic,7,171,180,92%,91%,9,7,10,Gold/Black,Yes,09/25/2025,880180,Junior,Keaton Moore,219-555-1506,Mr. Brown,johson@example.com,Ms. Green,green@example.com
Jill Fogarty,Penn High School,Full Time,High School,Other,19,166,180,91%,85%,2,8,10,Gold/Black,Yes,09/25/2025,881122,Sophomore,Benedict Jones,219-555-4784,Ms. Jones,johson@example.com,Mrs. Black,red@example.com
Keaton Fogarty,Penn High School,Full Time,High School,Hispanic,17,165,180,85%,80%,7,4,10,Gold/Black,Yes,09/25/2025,130673,Senior,Andrew Foster,219-555-3657,Mr. Brown,johson@example.com,Mr. Blue,white@example.com
Elijah Smith,Penn High School,Full Time,High School,Asian,8,161,180,83%,98%,2,4,10,Gold/Black,Yes,09/25/2025,541146,Junior,Ben Fogarty,219-555-2773,Mr. Smith,jones@example.com,Mrs. Black,blue@example.com
Emmy Davis,Penn High School,Full Time,High School,Black,13,153,180,88%,95%,7,7,10,Gold/Black,No,09/25/2025,291709,Sophomore,Rachel Anderson,219-555-8214,Mrs. Williams,brown@example.com,Mr. White,green@example.com
Keaton Miller,Penn High School,Full Time,High School,Asian,10,178,180,91%,97%,9,1,10,Gold/Black,Yes,09/25/2025,124253,Senior,Lisa Miller,219-555-8190,Mr. Brown,brown@example.com,Mr. Blue,blue@example.com
Elijah Fogarty,Penn High School,Full Time,High School,White,16,167,180,92%,94%,2,7,10,Gold/Black,No,09/25/2025,973837,Senior,Rachel Garcia,219-555-3673,Mr. Brown,williams@example.com,Mr. Blue,red@example.com
Danielle Foster,Penn High School,Full Time,High School,Black,0,169,180,88%,98%,3,9,10,Gold/Black,No,09/25/2025,505984,Freshman,Lucian Smith,219-555-3069,Mr. Brown,williams@example.com,Ms. Red,blue@example.com
Van Foster,Penn High School,Full Time,High School,Asian,14,159,180,92%,95%,8,7,10,Gold/Black,Yes,09/25/2025,905860,Senior,Emma DeFreitas,219-555-4206,Mr. Smith,brown@example.com,Mrs. Black,white@example.com
Alexis Smith,Penn High School,Full Time,High School,Black,2,171,180,87%,85%,3,5,10,Gold/Black,No,09/25/2025,913848,Junior,Aiden DeFreitas,219-555-4943,Mr. Smith,smith@example.com,Mr. White,green@example.com
Katerina Foster,Penn High School,Full Time,High School,Other,4,155,180,80%,88%,4,8,10,Gold/Black,Yes,09/25/2025,982193,Victory Lap,Emma Davis,219-555-3939,Ms. Johnson,williams@example.com,Ms. Green,white@example.com
Aiden Brown,Penn High School,Full Time,High School,Black,19,175,180,88%,99%,1,9,10,Gold/Black,No,09/25/2025,758928,Junior,Mac Moore,219-555-1125,Mr. Smith,smith@example.com,Mr. White,red@example.com
Benedict Garcia,Penn High School,Full Time,High School,White,16,165,180,84%,88%,3,2,10,Gold/Black,Yes,09/25/2025,926761,Victory Lap,Benedict Moore,219-555-3844,Mr. Smith,johson@example.com,Mr. Blue,red@example.com
Jill Foster,Penn High School,Full Time,High School,Hispanic,14,164,180,85%,91%,9,0,10,Gold/Black,No,09/25/2025,309720,Junior,Lisa Johnson,219-555-4755,Ms. Johnson,smith@example.com,Ms. Green,white@example.com
Van Foster,Penn High School,Full Time,High School,Hispanic,16,159,180,92%,91%,5,3,10,Gold/Black,No,09/25/2025,674726,Sophomore,Andrew Moore,219-555-3768,Ms. Johnson,jones@example.com,Mr. Blue,white@example.com
Lucian Garcia,Penn High School,Full Time,High School,Black,4,171,180,81%,90%,7,6,10,Gold/Black,Yes,09/25/2025,663738,Senior,Benedict Miller,219-555-3767,Ms. Jones,smith@example.com,Mr. White,red@example.com
Jill Fogarty,Penn High School,Full Time,High School,Black,7,156,180,96%,92%,4,5,10,Gold/Black,No,09/25/2025,408610,Freshman,Noah Brown,219-555-6033,Mrs. Williams,brown@example.com,Mrs. Black,black@example.com
Katerina Garcia,Penn High School,Full Time,High School,White,16,175,180,97%,82%,8,2,10,Gold/Black,No,09/25/2025,552689,Junior,Emma Miller,219-555-8655,Ms. Jones,smith@example.com,Mr. White,green@example.com
Jane Smith,Penn High School,Full Time,High School,Hispanic,16,174,180,88%,84%,6,1,10,Gold/Black,Yes,09/25/2025,469081,Sophomore,Joe Johnson,219-555-8981,Mr. Smith,williams@example.com,Mr. Blue,blue@example.com
Emma DeFreitas,Penn High School,Full Time,High School,Asian,13,152,180,87%,84%,0,0,10,Gold/Black,Yes,09/25/2025,850287,Victory Lap,Aiden Davis,219-555-6788,Mrs. Williams,jones@example.com,Mr. White,blue@example.com
Alexis Manukyan,Penn High School,Full Time,High School,Black,6,166,180,84%,88%,1,4,10,Gold/Black,No,09/25/2025,282246,Freshman,Roman Johnson,219-555-9932,Ms. Johnson,jones@example.com,Ms. Green,red@example.com
Ben Brown,Penn High School,Full Time,High School,Asian,9,161,180,85%,92%,1,4,10,Gold/Black,Yes,09/25/2025,293565,Sophomore,Mac Miller,219-555-7298,Mrs. Williams,smith@example.com,Mr. White,white@example.com
Jill Manukyan,Penn High School,Full Time,High School,Asian,19,173,180,96%,90%,6,5,10,Gold/Black,No,09/25/2025,980608,Freshman,Lisa Johnson,219-555-5037,Ms. Johnson,brown@example.com,Mr. Blue,black@example.com
Van Wilson,Penn High School,Full Time,High School,Hispanic,18,159,180,82%,86%,8,3,10,Gold/Black,Yes,09/25/2025,662360,Sophomore,Aiden Brown,219-555-2039,Mrs. Williams,williams@example.com,Mr. White,red@example.com
Andrew Davis,Penn High School,Full Time,High School,Other,0,167,180,94%,98%,7,0,10,Gold/Black,No,09/25/2025,358407,Victory Lap,Joe Davis,219-555-2999,Mr. Smith,williams@example.com,Mr. White,green@example.com
Lucian Smith,Penn High School,Full Time,High School,Hispanic,1,175,180,90%,97%,1,5,10,Gold/Black,No,09/25/2025,789191,Victory Lap,Marge Manukyan,219-555-3051,Mr. Smith,williams@example.com,Mr. Blue,blue@example.com
Kyan Miller,Penn High School,Full Time,High School,White,18,174,180,83%,94%,9,1,10,Gold/Black,No,09/25/2025,778905,Junior,Rachel DeFreitas,219-555-4658,Ms. Johnson,johson@example.com,Mr. Blue,green@example.com
Eliana Wilson,Penn High School,Full Time,High School,Other,4,156,180,89%,89%,2,8,10,Gold/Black,Yes,09/25/2025,343167,Senior,Kyan Jones,219-555-4624,Mrs. Williams,williams@example.com,Mr. White,black@example.com
Katerina Willaims,Penn High School,Full Time,High School,White,6,174,180,83%,93%,8,5,10,Gold/Black,No,09/25/2025,829470,Victory Lap,Kaden Manukyan,219-555-9082,Mr. Brown,williams@example.com,Mr. Blue,black@example.com
Noah DeFreitas,Penn High School,Full Time,High School,Hispanic,12,175,180,89%,82%,8,0,10,Gold/Black,No,09/25/2025,216887,Junior,Mac Manukyan,219-555-5036,Mr. Brown,jones@example.com,Mr. White,black@example.com
Roman Davis,Penn High School,Full Time,High School,Asian,14,169,180,81%,87%,9,3,10,Gold/Black,No,09/25/2025,665502,Sophomore,Danielle Smith,219-555-4168,Ms. Jones,brown@example.com,Mr. White,blue@example.com
Danielle Garcia,Penn High School,Full Time,High School,Asian,4,176,180,94%,92%,9,3,10,Gold/Black,Yes,09/25/2025,256366,Sophomore,Danielle Willaims,219-555-1510,Mrs. Williams,johson@example.com,Mr. White,green@example.com
Benedict Wilson,Penn High School,Full Time,High School,Other,3,172,180,88%,89%,2,6,10,Gold/Black,Yes,09/25/2025,714717,Sophomore,Elijah Wilson,219-555-9841,Ms. Johnson,williams@example.com,Mrs. Black,white@example.com
Emmy Jones,Penn High School,Full Time,High School,Black,6,161,180,82%,96%,4,9,10,Gold/Black,No,09/25/2025,575433,Freshman,Benedict Jones,219-555-6058,Ms. Jones,johson@example.com,Mr. Blue,red@example.com
Emmy Foster,Penn High School,Full Time,High School,Black,13,155,180,81%,89%,5,2,10,Gold/Black,No,09/25/2025,982736,Junior,Rachel Johnson,219-555-4315,Mrs. Williams,jones@example.com,Ms. Green,white@example.com
Marge Willaims,Penn High School,Full Time,High School,Other,15,158,180,90%,87%,7,5,10,Gold/Black,No,09/25/2025,178073,Victory Lap,Elijah Moore,219-555-8020,Mr. Smith,johson@example.com,Mr. White,white@example.com
Elijah Foster,Penn High School,Full Time,High School,White,16,152,180,84%,87%,0,7,10,Gold/Black,No,09/25/2025,972622,Senior,Katerina Miller,219-555-6819,Mr. Smith,johson@example.com,Ms. Red,blue@example.com
Jane Wilson,Penn High School,Full Time,High School,Hispanic,6,153,180,92%,83%,5,7,10,Gold/Black,No,09/25/2025,999514,Senior,Katerina Fogarty,219-555-6554,Mr. Smith,jones@example.com,Ms. Red,white@example.com
Keaton Willaims,Penn High School,Full Time,High School,Asian,7,172,180,86%,99%,1,8,10,Gold/Black,No,09/25/2025,841225,Senior,Jill Johnson,219-555-1503,Mrs. Williams,brown@example.com,Mr. Blue,green@example.com
Katerina Manukyan,Penn High School,Full Time,High School,Asian,19,153,180,91%,84%,3,3,10,Gold/Black,No,09/25/2025,590924,Junior,Jill Anderson,219-555-9422,Mrs. Williams,jones@example.com,Ms. Green,green@example.com
Kyan Garcia,Penn High School,Full Time,High School,White,15,174,180,90%,82%,0,3,10,Gold/Black,No,09/25/2025,735839,Senior,Kaden Fogarty,219-555-6192,Mr. Smith,brown@example.com,Mr. White,red@example.com
